game name;start time;stage;finish time;Theory 1 - Causal Links;Theory 1 - Probabilities;Theory 1 - Omega & Alternative Expected Value;Theory 1 - Expected Probability;Theory 1 - #used attributes;Theory 1 - # links;Theory 2 - Causal Links;Theory 2 - Probabilities;Theory 2 - Omega & Alternative Expected Value;Theory 2 - Expected Probability;Theory 2 - #used attributes;Theory 2 - # links;experiments json;Theory 1 real world draw;Theory 2 real world draw;final exp draw;final exp;player decision;result (1 = won)
Meta;03.10.2024 8:48;4;03.10.2024 10:24;"{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.15,""4"":0.03},""2"":{""5"":0.15}}";[[0.05,0.2,0.12000000000000001,0.27,0.08,0.23,0.15000000000000002,0.30000000000000004],[0.1,0.25,0.25,0.4,0.2,0.35,0.35,0.5],[0.6,0.75],[0.7000000000000001,0.7500000000000001,0.8500000000000001,0.9000000000000001],[0.75],[0.65]];[0.6,0.35000000000000003];0.19132593750000002;6;9;"{""0"":{""3"":0.4,""2"":0.2,""1"":0.15},""3"":{""1"":0.1,""2"":0.1}}";[[0.05,0.2,0.25,0.4,0.45,0.6000000000000001,0.65,0.8],[0.9],[0.9],[0.1,0.2,0.2,0.30000000000000004]];[0.3,0.4];0.47700000000000015;4;5;"[{""exp"":""first"",""exp_draw"":0.759872242174115,""loglink"":{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.2,""4"":0.03},""2"":{""5"":0.15}},""probval"":[[0.05,0.25,0.12000000000000001,0.32,0.08,0.28,0.15000000000000002,0.35],[0.2,0.35,0.35,0.5,0.30000000000000004,0.44999999999999996,0.44999999999999996,0.6],[0.6,0.75],[0.8,0.8500000000000001,0.9500000000000001,1],[0.75],[0.65]],""certain"":[0.6,0.2],""expected"":0.2411625},{""exp"":""first"",""exp_draw"":0.6852227470640264,""loglink"":{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.2,""4"":0.03},""2"":{""5"":0.15}},""probval"":[[0.05,0.25,0.12000000000000001,0.32,0.08,0.28,0.15000000000000002,0.35],[0.2,0.35,0.35,0.5,0.30000000000000004,0.44999999999999996,0.44999999999999996,0.6],[0.6,0.75],[0.8,0.8500000000000001,0.9500000000000001,1],[0.75],[0.65]],""certain"":[0.6,0.2],""expected"":0.2411625}]";75;82;69;1;2;1
Meta;03.10.2024 8:48;4;03.10.2024 10:24;"{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.15,""4"":0.03},""2"":{""5"":0.15}}";[[0.05,0.2,0.12000000000000001,0.27,0.08,0.23,0.15000000000000002,0.30000000000000004],[0.1,0.25,0.25,0.4,0.2,0.35,0.35,0.5],[0.6,0.75],[0.7000000000000001,0.7500000000000001,0.8500000000000001,0.9000000000000001],[0.75],[0.65]];[0.6,0.35000000000000003];0.19132593750000002;6;9;"{""0"":{""1"":0.15,""2"":0.2,""3"":0.4},""3"":{""1"":0.1,""2"":0.1}}";[[0.05,0.2,0.25,0.4,0.45,0.6000000000000001,0.65,0.8],[0.9],[0.9],[0.1,0.2,0.2,0.30000000000000004]];[0.3,0.4];0.47700000000000004;4;5;"[{""exp"":""first"",""exp_draw"":0.6832119362263552,""loglink"":{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.2,""4"":0.03},""2"":{""5"":0.15}},""probval"":[[0.05,0.25,0.12000000000000001,0.32,0.08,0.28,0.15000000000000002,0.35],[0.2,0.35,0.35,0.5,0.30000000000000004,0.44999999999999996,0.44999999999999996,0.6],[0.6,0.75],[0.8,0.8500000000000001,0.9500000000000001,1],[0.75],[0.65]],""certain"":[0.6,0.2],""expected"":0.2411625},{""exp"":""first"",""exp_draw"":0.5609478114384394,""loglink"":{""3"":{""2"":0.05,""4"":0.15},""1"":{""2"":0.15,""3"":0.15,""5"":0.1},""0"":{""3"":0.07,""1"":0.2,""4"":0.03},""2"":{""5"":0.15}},""probval"":[[0.05,0.25,0.12000000000000001,0.32,0.08,0.28,0.15000000000000002,0.35],[0.2,0.35,0.35,0.5,0.30000000000000004,0.44999999999999996,0.44999999999999996,0.6],[0.6,0.75],[0.8,0.8500000000000001,0.9500000000000001,1],[0.75],[0.65]],""certain"":[0.6,0.2],""expected"":0.2411625}]";65;89;56;1;2;1
Meta;03.09.2024 17:45;4;03.09.2024 17:59;[];[[0]];[0.33,0.75];0;0;0;[];[[0]];[0.23,0.33];0;0;0;"[{""exp"":""second"",""exp_draw"":0.8531409637154809,""loglink"":[],""probval"":[[0]],""certain"":[0.23,0.33],""expected"":0}]";67;94;85;2;2;1
Meta;20.03.2024 5:22;4;20.03.2024 5:43;"{""0"":{""5"":0.05,""1"":0.8},""1"":{""4"":0.1,""3"":0.15,""2"":0.6},""4"":{""2"":0.7000000000000001},""3"":{""2"":0.5}}";[[0.05,0.8500000000000001,0.1,0.9000000000000001],[0.1,0.7,0.25,0.85,0.2,0.7999999999999999,0.35,0.95],[0.9500000000000001],[0.4,0.9],[0.2,0.9000000000000001],[0.2]];[0.55,0.2];0.7702000000000002;6;7;"{""3"":{""1"":0.6,""2"":0.1},""0"":{""3"":0.3,""2"":0.35000000000000003,""1"":0.25}}";[[0.02,0.27,0.37000000000000005,0.6200000000000001,0.32,0.5700000000000001,0.67,0.9200000000000002],[0.5],[0.5],[0.02,0.62,0.12000000000000001,0.72]];[0.55,0.2];0.4310000000000001;4;5;"[{""exp"":""second"",""exp_draw"":0.9099522623507414,""loglink"":{""3"":{""1"":0.4,""2"":0.5},""0"":{""3"":0.3,""2"":0.5,""1"":0.17}},""probval"":[[0.02,0.19,0.52,0.69,0.32,0.49,0.8200000000000001,0.99],[0.5],[0.8],[0.1,0.5,0.6,1]],""certain"":[0.65,0.2],""expected"":0.7150000000000001},{""exp"":""first"",""exp_draw"":0.8569511238926576,""loglink"":{""0"":{""5"":0.05,""1"":0.8},""1"":{""4"":0.1,""3"":0.15,""2"":0.5},""4"":{""2"":0.7000000000000001},""3"":{""2"":0.5}},""probval"":[[0.05,0.8500000000000001,0.1,0.9000000000000001],[0.2,0.7,0.35,0.85,0.30000000000000004,0.7999999999999999,0.44999999999999996,0.95],[0.9500000000000001],[0.4,0.9],[0.2,0.9000000000000001],[0.2]],""certain"":[0.55,0.2],""expected"":0.7742000000000001}]";77;93;86;1;2;1
Meta;21.11.2023 15:55;4;21.11.2023 16:31;"[{""1"":0.2,""2"":0.1,""3"":0.2,""5"":0.1}]";"{""0"":[0.05,0.25,0.15000000000000002,0.35,0.25,0.45,0.35000000000000003,0.55,0.15000000000000002,0.35,0.25,0.44999999999999996,0.35,0.55,0.45000000000000007,0.65],""1"":[0.1],""2"":[0.1],""3"":[0.05],""5"":[0.05]}";[0.35000000000000003,0.06];0.095;5;4;"[{""3"":0.7000000000000001,""2"":0.2}]";"{""0"":[0.1,0.30000000000000004,0.8,1],""2"":[0.5],""3"":[0.2]}";[0.53,0.16];0.3400000000000001;3;2;"[{""exp"":""second"",""exp_draw"":0.903039787853993,""loglink"":[{""3"":0.5,""2"":0.1,""1"":0.3}],""probval"":[[0.1,0.4,0.2,0.5,0.6,0.9,0.7,1],[0.7000000000000001],[0.5],[0.2]],""certain"":[0.53,0.16],""expected"":0.4600000000000001}]";66;88;90;2;2;1
Meta;12.11.2023 15:53;4;12.11.2023 15:55;"[{""5"":0.03,""4"":0.05,""3"":0.02,""2"":0.04,""1"":0.03}]";[[0.05,0.08,0.09,0.12,0.07,0.1,0.11,0.13999999999999999,0.1,0.13,0.14,0.16999999999999998,0.12000000000000001,0.15000000000000002,0.16,0.19,0.08,0.11,0.12,0.15,0.1,0.13,0.14,0.16999999999999998,0.13,0.16,0.17,0.19999999999999998,0.15000000000000002,0.18000000000000002,0.19,0.22],[0.21],[0.23],[0.12],[0.1],[0.12]];[0.92,0.22];0.07650000000000001;6;5;"[{""3"":0.03,""2"":0.04,""1"":0.05}]";[[0.06,0.11,0.1,0.15,0.09,0.14,0.13,0.18],[0.1],[0.15],[0.12]];[0.89,0.23];0.0746;4;3;"[{""exp"":""second"",""exp_draw"":0.8621939105548877,""loglink"":[{""3"":0.03,""2"":0.04,""1"":0.05}],""probval"":[[0.06,0.11,0.1,0.15,0.09,0.14,0.13,0.18],[0.1],[0.15],[0.12]],""certain"":[0.89,0.23],""expected"":0.0746}]";72;89;86;2;2;1
Luxottica;05.09.2024 7:59;4;05.09.2024 8:00;[];[[0]];[0.33,0.23];0;0;0;[];[[0]];[0.35000000000000003,0.29];0;0;0;"[{""exp"":""second"",""exp_draw"":0.8988971457469507,""loglink"":[],""probval"":[[0]],""certain"":[0.35000000000000003,0.29],""expected"":0}]";88;94;90;2;2;1
Luxottica;03.09.2024 17:21;4;03.09.2024 17:40;[];[[0]];[0.25,0.66];0;0;0;[];[[0]];[0.15,0.41000000000000003];0;0;0;"[{""exp"":""second"",""exp_draw"":0.8679682088676487,""loglink"":[],""probval"":[[0]],""certain"":[0.15,0.41000000000000003],""expected"":0}]";95;91;87;2;2;0
Luxottica;28.06.2024 9:47;4;28.06.2024 10:09;"{""0"":{""5"":-0.05,""4"":0.7000000000000001},""4"":{""1"":0.6}}";"{""0"":[0.1,0.8,0.05,0.75],""1"":[0.5],""4"":[0.05,0.65],""5"":[0.5]}";[0.51,0.22];0.32;4;3;"[{""2"":0.7000000000000001}]";"{""0"":[0.1,0.8],""2"":[0.5]}";[0.35000000000000003,0.33];0.45;2;1;"[{""exp"":""second"",""exp_draw"":0.9066776483299347,""loglink"":[{""2"":0.7000000000000001}],""probval"":{""0"":[0.1,0.8],""2"":[0.9]},""certain"":[0.35000000000000003,0.33],""expected"":0.7300000000000001}]";85;94;91;2;2;1
Luxottica;30.05.2024 8:30;4;30.05.2024 8:43;"[{""5"":-0.05,""3"":0.25}]";"{""0"":[0.1,0.35,0.05,0.3],""3"":[0.8],""5"":[0.5]}";[0.5,0.25];0.275;3;2;"[{""3"":0.4}]";"{""0"":[0.2,0.6000000000000001],""3"":[0.5]}";[0.51,0.64];0.4;2;1;"[{""exp"":""first"",""exp_draw"":0.8850602064995248,""loglink"":[{""5"":-0.05,""3"":0.45}],""probval"":{""0"":[0.1,0.55,0.05,0.5],""3"":[0.8],""5"":[0.5]},""certain"":[0.5,0.25],""expected"":0.43500000000000005}]";94;84;89;1;2;0
